ensembl_gene_id	external_gene_name	human_PC1
ENSG00000000003	TSPAN6	8.66095460281751
ENSG00000000419	DPM1	2.24122111263875
ENSG00000000457	SCYL3	-6.92917289890567
ENSG00000000460	C1orf112	0.440908608565664
ENSG00000000938	FGR	-0.94368014484995
ENSG00000000971	CFH	7.72042674851192
ENSG00000001036	FUCA2	8.30981072599099
ENSG00000001084	GCLC	-3.79295516265469
ENSG00000001167	NFYA	-6.4981408274704
ENSG00000001460	STPG1	-3.57621150680388
ENSG00000001461	NIPAL3	0.290577323686184
ENSG00000001497	LAS1L	7.62737793851154
ENSG00000001561	ENPP4	-0.286285629631509
ENSG00000001617	SEMA3F	-0.010621487487757
ENSG00000001629	ANKIB1	-1.01750306857375
ENSG00000001630	CYP51A1	2.2753531286541
ENSG00000001631	KRIT1	-0.885704849512103
ENSG00000002016	RAD52	-4.63777819959463
ENSG00000002330	BAD	4.49180650408091
ENSG00000002549	LAP3	6.73573407224717
ENSG00000002586	CD99	9.99104304264904
ENSG00000002745	WNT16	-4.57509219685031
ENSG00000002746	HECW1	-4.20168530720227
ENSG00000002822	MAD1L1	-2.55579921547435
ENSG00000002834	LASP1	2.75299292937987
ENSG00000002919	SNX11	-2.69469523994065
ENSG00000003056	M6PR	3.33250981810299
ENSG00000003096	KLHL13	1.20669999134929
ENSG00000003137	CYP26B1	-3.16269028081692
ENSG00000003147	ICA1	2.53851903752277
ENSG00000003249	DBNDD1	2.27081641461756
ENSG00000003393	ALS2	-2.44624684216545
ENSG00000003400	CASP10	-1.45292205892627
ENSG00000003402	CFLAR	-1.35042008587338
ENSG00000003436	TFPI	4.11902420968433
ENSG00000003509	NDUFAF7	-0.0553982663916717
ENSG00000003756	RBM5	-5.96029593233879
ENSG00000003987	MTMR7	0.317053510855052
ENSG00000003989	SLC7A2	-0.105250892514826
ENSG00000004059	ARF5	9.2102930868234
ENSG00000004139	SARM1	1.28570046411493
ENSG00000004142	POLDIP2	5.43083272937609
ENSG00000004399	PLXND1	4.83700582102289
ENSG00000004455	AK2	6.46224333472263
ENSG00000004468	CD38	7.57067963502686
ENSG00000004478	FKBP4	5.55929602632673
ENSG00000004487	KDM1A	2.95307661007945
ENSG00000004534	RBM6	2.08122537805362
ENSG00000004660	CAMKK1	-3.7337422084136
ENSG00000004700	RECQL	4.02625485757774
ENSG00000004766	VPS50	-0.477045105899645
ENSG00000004777	ARHGAP33	4.73866265411431
ENSG00000004779	NDUFAB1	6.80716829596947
ENSG00000004799	PDK4	-8.32530021846802
ENSG00000004838	ZMYND10	2.03998401568773
ENSG00000004848	ARX	-0.59794066685095
ENSG00000004864	SLC25A13	2.90342312740418
ENSG00000004866	ST7	-0.181877523772557
ENSG00000004897	CDC27	-1.45445076540177
ENSG00000004961	HCCS	-0.882917324434317
ENSG00000004975	DVL2	1.60244378922105
ENSG00000005001	PRSS22	-1.96018621479427
ENSG00000005007	UPF1	0.169319981340859
ENSG00000005020	SKAP2	6.09354966779937
ENSG00000005022	SLC25A5	7.50214231005304
ENSG00000005059	MCUB	5.70109052423197
ENSG00000005073	HOXA11	-10.4061485565175
ENSG00000005075	POLR2J	8.5382148056568
ENSG00000005100	DHX33	-1.67694337774853
ENSG00000005156	LIG3	1.60470191862929
ENSG00000005175	RPAP3	1.58031090388531
ENSG00000005187	ACSM3	5.12537194313682
ENSG00000005189	REXO5	3.40187612515401
ENSG00000005194	CIAPIN1	3.295739654746
ENSG00000005206	SPPL2B	6.03364596808781
ENSG00000005238	FAM214B	-6.58419178611749
ENSG00000005243	COPZ2	12.365983968746
ENSG00000005249	PRKAR2B	5.77563701049068
ENSG00000005302	MSL3	3.70484244964994
ENSG00000005339	CREBBP	-5.77832462319572
ENSG00000005436	GCFC2	1.25763793567173
ENSG00000005448	WDR54	8.06094995539578
ENSG00000005469	CROT	1.44265951661117
ENSG00000005471	ABCB4	2.712473927064
ENSG00000005483	KMT2E	-6.61891499336828
ENSG00000005486	RHBDD2	5.07253432341684
ENSG00000005513	SOX8	-5.48533485392922
ENSG00000005700	IBTK	-0.880790173411205
ENSG00000005801	ZNF195	-3.98182335725202
ENSG00000005810	MYCBP2	-2.24868749820589
ENSG00000005812	FBXL3	-6.54309106995372
ENSG00000005844	ITGAL	2.83337452566376
ENSG00000005882	PDK2	6.03768364377727
ENSG00000005884	ITGA3	3.82389125123848
ENSG00000005889	ZFX	-8.58006336437946
ENSG00000005893	LAMP2	8.0662418983343
ENSG00000005961	ITGA2B	6.26302797651854
ENSG00000006007	GDE1	3.95941490303511
ENSG00000006016	CRLF1	5.4585356762377
ENSG00000006025	OSBPL7	0.528917984120597
ENSG00000006042	TMEM98	8.04530404502336
ENSG00000006047	YBX2	8.14619214072504
ENSG00000006062	MAP3K14	-10.5503637155955
ENSG00000006071	ABCC8	3.06880193469593
ENSG00000006118	TMEM132A	7.3625506913278
ENSG00000006125	AP2B1	7.60306973101186
ENSG00000006194	ZNF263	-7.50311201340108
ENSG00000006210	CX3CL1	-10.5421673222508
ENSG00000006282	SPATA20	8.42758048462074
ENSG00000006283	CACNA1G	1.86867545462192
ENSG00000006327	TNFRSF12A	-5.65254905523179
ENSG00000006377	DLX6	-7.4649034391066
ENSG00000006432	MAP3K9	-7.31994319696874
ENSG00000006451	RALA	0.311430236098021
ENSG00000006453	BAIAP2L1	0.933827638451909
ENSG00000006459	KDM7A	-5.22380960876853
ENSG00000006468	ETV1	-1.37030876481751
ENSG00000006530	AGK	3.26342878347312
ENSG00000006534	ALDH3B1	5.35469301445297
ENSG00000006576	PHTF2	1.87367027007201
ENSG00000006607	FARP2	-1.01355047937698
ENSG00000006625	GGCT	6.44128679545169
ENSG00000006634	DBF4	-5.79215089198425
ENSG00000006638	TBXA2R	-1.74475888575376
ENSG00000006652	IFRD1	-5.36212502375278
ENSG00000006695	COX10	-3.83171977674625
ENSG00000006704	GTF2IRD1	-3.60512837765667
ENSG00000006712	PAF1	-0.872357909166665
ENSG00000006715	VPS41	5.87208525794691
ENSG00000006740	ARHGAP44	0.260413748185902
ENSG00000006744	ELAC2	3.56101599627562
ENSG00000006747	SCIN	5.32179535989706
ENSG00000006756	ARSD	4.04195421131391
ENSG00000006757	PNPLA4	5.98990462251199
ENSG00000006831	ADIPOR2	-1.64940974958543
ENSG00000006837	CDKL3	-0.647467707941012
ENSG00000007038	PRSS21	9.97135263331792
ENSG00000007047	MARK4	0.133116607170814
ENSG00000007062	PROM1	2.80330006968637
ENSG00000007080	CCDC124	10.4926030408894
ENSG00000007129	CEACAM21	-0.816133272759114
ENSG00000007168	PAFAH1B1	-1.59179810510737
ENSG00000007171	NOS2	-2.24557042205222
ENSG00000007202	KIAA0100	4.95012436738774
ENSG00000007216	SLC13A2	3.67699828516705
ENSG00000007237	GAS7	-0.0677507392128871
ENSG00000007255	TRAPPC6A	12.0998140500872
ENSG00000007264	MATK	6.09412888296704
ENSG00000007312	CD79B	0.362585987303636
ENSG00000007341	ST7L	0.74127942882469
ENSG00000007372	PAX6	-6.06991719808192
ENSG00000007376	RPUSD1	-2.33404058019404
ENSG00000007384	RHBDF1	3.80918910144754
ENSG00000007392	LUC7L	-1.73372104365146
ENSG00000007402	CACNA2D2	8.81046365532704
ENSG00000007516	BAIAP3	4.66074699872686
ENSG00000007520	TSR3	3.96149590331278
ENSG00000007541	PIGQ	5.79171777171621
ENSG00000007545	CRAMP1	-4.42114867585968
ENSG00000007866	TEAD3	-1.82004324063502
ENSG00000007923	DNAJC11	1.96327249524726
ENSG00000007944	MYLIP	-10.1060115154441
ENSG00000007968	E2F2	-5.65865685491775
ENSG00000008018	PSMB1	5.86823995339375
ENSG00000008056	SYN1	2.48594863661823
ENSG00000008083	JARID2	-6.32445905778338
ENSG00000008086	CDKL5	-5.89751471577223
ENSG00000008128	CDK11A	2.21954420186018
ENSG00000008130	NADK	2.8273420183539
ENSG00000008256	CYTH3	-1.34562462303186
ENSG00000008277	ADAM22	1.00943589050737
ENSG00000008282	SYPL1	3.32440248711642
ENSG00000008283	CYB561	2.28760965244469
ENSG00000008294	SPAG9	1.34793246005679
ENSG00000008300	CELSR3	-0.326846474179847
ENSG00000008311	AASS	4.71897336666857
ENSG00000008323	PLEKHG6	-3.25585511240301
ENSG00000008324	SS18L2	-4.46623612408858
ENSG00000008382	MPND	6.82906061184633
ENSG00000008394	MGST1	10.1846508586086
ENSG00000008405	CRY1	0.023344217543065
ENSG00000008441	NFIX	0.612146078197139
ENSG00000008513	ST3GAL1	-9.08016246150837
ENSG00000008516	MMP25	2.54701934404211
ENSG00000008517	IL32	5.71742545333574
ENSG00000008710	PKD1	1.77576426104163
ENSG00000008735	MAPK8IP2	4.29055463961613
ENSG00000008838	MED24	5.06741389421132
ENSG00000008853	RHOBTB2	-3.69037904617988
ENSG00000008869	HEATR5B	-1.68084556652343
ENSG00000008952	SEC62	0.0951738413623683
ENSG00000008988	RPS20	10.8438539688772
ENSG00000009307	CSDE1	7.90525014382546
ENSG00000009335	UBE3C	-0.481515672658331
ENSG00000009413	REV3L	-5.80762669634604
ENSG00000009694	TENM1	0.618401390097616
ENSG00000009709	PAX7	-1.7893641713107
ENSG00000009780	FAM76A	-1.629401128049
ENSG00000009790	TRAF3IP3	-8.79985565136513
ENSG00000009830	POMT2	3.88580798309009
ENSG00000009844	VTA1	2.08754669163092
ENSG00000009950	MLXIPL	3.86511676202963
ENSG00000009954	BAZ1B	-2.76397107108892
ENSG00000010017	RANBP9	-1.0212674293644
ENSG00000010072	SPRTN	-6.17783956017986
ENSG00000010165	EEF1AKNMT	-2.71257746238448
ENSG00000010219	DYRK4	3.8742822442026
ENSG00000010244	ZNF207	-0.661645688663577
ENSG00000010256	UQCRC1	8.04496215304163
ENSG00000010270	STARD3NL	2.89306405900113
ENSG00000010278	CD9	8.00167553065572
ENSG00000010282	HHATL	-5.90449628425612
ENSG00000010292	NCAPD2	4.36397517243174
ENSG00000010295	IFFO1	-0.70570203145927
ENSG00000010310	GIPR	3.15530763594382
ENSG00000010318	PHF7	2.07399514014401
ENSG00000010319	SEMA3G	0.0679665778582099
ENSG00000010322	NISCH	1.46671200507596
ENSG00000010327	STAB1	-4.42953093182204
ENSG00000010361	FUZ	6.08960050090806
ENSG00000010404	IDS	8.30532688552368
ENSG00000010539	ZNF200	-8.75125477224039
ENSG00000010626	LRRC23	6.20442738027134
ENSG00000010671	BTK	7.57380972907671
ENSG00000010704	HFE	2.28553653444028
ENSG00000010803	SCMH1	0.100568454890994
ENSG00000010810	FYN	-0.407333911888056
ENSG00000010818	HIVEP2	-8.73528787267095
ENSG00000011007	ELOA	-1.74362338518093
ENSG00000011009	LYPLA2	4.21119490024554
ENSG00000011021	CLCN6	-1.13083742576482
