ensembl_gene_id	external_gene_name	mouse_PC1
ENSMUSG00000000001	Gnai3	0.880153953098764
ENSMUSG00000000028	Cdc45	-1.58038174365874
ENSMUSG00000000031	H19	9.31080689521881
ENSMUSG00000000037	Scml2	5.24347115546592
ENSMUSG00000000056	Narf	-1.45841266954531
ENSMUSG00000000058	Cav2	1.33038811245123
ENSMUSG00000000078	Klf6	-9.73254530119958
ENSMUSG00000000085	Scmh1	-3.61356716003447
ENSMUSG00000000088	Cox5a	5.58371704759639
ENSMUSG00000000093	Tbx2	-2.65679997255237
ENSMUSG00000000094	Tbx4	-0.430318112552981
ENSMUSG00000000120	Ngfr	4.88212182536984
ENSMUSG00000000125	Wnt3	-2.84736750096742
ENSMUSG00000000126	Wnt9a	-2.59062410491175
ENSMUSG00000000127	Fer	1.17385177088878
ENSMUSG00000000131	Xpo6	-1.4409237785632
ENSMUSG00000000134	Tfe3	-1.27825775006739
ENSMUSG00000000142	Axin2	-9.32558025383588
ENSMUSG00000000148	Brat1	-4.42145501713588
ENSMUSG00000000149	Gna12	0.082143436003849
ENSMUSG00000000154	Slc22a18	3.10444136078879
ENSMUSG00000000167	Pih1d2	0.966412319272203
ENSMUSG00000000168	Dlat	3.52840306434543
ENSMUSG00000000171	Sdhd	4.05204037073332
ENSMUSG00000000184	Ccnd2	0.458096468126745
ENSMUSG00000000194	Gpr107	0.641818172482762
ENSMUSG00000000204	Slfn4	-1.5526452462161
ENSMUSG00000000214	Th	4.29680149467433
ENSMUSG00000000215	Ins2	2.72654940117786
ENSMUSG00000000223	Drp2	1.74300851324316
ENSMUSG00000000244	Tspan32	1.92640429204678
ENSMUSG00000000247	Lhx2	-0.204494745927132
ENSMUSG00000000253	Gmpr	2.53954834866826
ENSMUSG00000000263	Glra1	2.12964142603952
ENSMUSG00000000266	Mid2	-1.18267881371505
ENSMUSG00000000275	Trim25	-3.7264467618608
ENSMUSG00000000276	Dgke	-4.22868533195268
ENSMUSG00000000278	Scpep1	5.00052073177654
ENSMUSG00000000282	Mnt	-4.99739436232468
ENSMUSG00000000290	Itgb2	-2.90310496214632
ENSMUSG00000000295	Hddc2	3.30869150901609
ENSMUSG00000000296	Tpd52l1	4.96368380851583
ENSMUSG00000000301	Pemt	5.51124574925758
ENSMUSG00000000303	Cdh1	1.95606335789835
ENSMUSG00000000305	Cdh4	2.10831700759094
ENSMUSG00000000308	Ckmt1	1.92366818760856
ENSMUSG00000000317	Bcl6b	-3.63517620268678
ENSMUSG00000000318	Clec10a	5.47711224010623
ENSMUSG00000000320	Alox12	-0.329183658999997
ENSMUSG00000000326	Comt	1.03085974163832
ENSMUSG00000000339	Rtca	1.72300720227355
ENSMUSG00000000340	Dbt	1.7160426842266
ENSMUSG00000000346	Dazap2	1.43209498120269
ENSMUSG00000000355	Mcts1	3.47412010553847
ENSMUSG00000000359	Rem1	-2.18190628169094
ENSMUSG00000000374	Trappc10	-0.974955048968823
ENSMUSG00000000378	Ccm2	-2.77297343926486
ENSMUSG00000000381	Wap	-0.979901148390754
ENSMUSG00000000384	Tbrg4	-1.36776492902782
ENSMUSG00000000385	Tmprss2	3.1154133293971
ENSMUSG00000000399	Ndufa9	5.9206887906367
ENSMUSG00000000402	Egfl6	0.270923019238096
ENSMUSG00000000409	Lck	0.296435866355046
ENSMUSG00000000416	Cttnbp2	-2.19459246231519
ENSMUSG00000000420	Galnt1	1.61579006606048
ENSMUSG00000000439	Mkrn2	-1.05072760337005
ENSMUSG00000000440	Pparg	-2.48664390610063
ENSMUSG00000000441	Raf1	-1.72446830166287
ENSMUSG00000000489	Pdgfb	-7.03826733298948
ENSMUSG00000000530	Acvrl1	5.09077543092871
ENSMUSG00000000531	Tamalin	-1.25389972858557
ENSMUSG00000000532	Acvr1b	-4.62177635437071
ENSMUSG00000000538	Tom1l2	-0.518421544387098
ENSMUSG00000000544	Gpa33	2.87990894954446
ENSMUSG00000000552	Zfp385a	-1.26553681778492
ENSMUSG00000000555	Itga5	-3.96026224377839
ENSMUSG00000000561	Wdr77	-0.345327766929731
ENSMUSG00000000563	Atp5pb	3.94210559193185
ENSMUSG00000000567	Sox9	-6.86210471513962
ENSMUSG00000000568	Hnrnpd	2.23927996410615
ENSMUSG00000000581	C1d	2.41681839127229
ENSMUSG00000000594	Gm2a	3.69734650557727
ENSMUSG00000000600	Krit1	-0.799741627786898
ENSMUSG00000000605	Clcn4	1.32124713557199
ENSMUSG00000000617	Grm6	0.314410067570467
ENSMUSG00000000627	Sema4f	4.74566712119459
ENSMUSG00000000628	Hk2	-5.18109988703404
ENSMUSG00000000631	Myo18a	1.48304546844983
ENSMUSG00000000632	Sez6	-0.317965988974559
ENSMUSG00000000673	Haao	3.74779590606781
ENSMUSG00000000682	Cd52	4.21799445667617
ENSMUSG00000000686	Abhd15	-3.98411697368437
ENSMUSG00000000690	Hoxb6	1.69377539402654
ENSMUSG00000000693	Loxl3	4.0350801809102
ENSMUSG00000000706	Btn1a1	2.57567778351192
ENSMUSG00000000708	Kat2b	2.5980740494299
ENSMUSG00000000711	Rab5b	2.02258031967362
ENSMUSG00000000730	Dnmt3l	1.77268738802997
ENSMUSG00000000731	Aire	4.94352542718315
ENSMUSG00000000732	Icosl	2.24287818117228
ENSMUSG00000000738	Spg7	3.85338390891846
ENSMUSG00000000739	Sult5a1	4.45839932393334
ENSMUSG00000000740	Rpl13	5.34712159723838
ENSMUSG00000000743	Chmp1a	2.29781705047238
ENSMUSG00000000751	Rpa1	3.88701323112934
ENSMUSG00000000753	Serpinf1	6.41920097397631
ENSMUSG00000000759	Tubgcp3	-0.687450763232182
ENSMUSG00000000766	Oprm1	5.7391015436991
ENSMUSG00000000776	Polr3d	-5.1626481732
ENSMUSG00000000782	Tcf7	0.848058663594134
ENSMUSG00000000787	Ddx3x	-1.00611349375817
ENSMUSG00000000791	Il12rb1	-2.16990888378522
ENSMUSG00000000792	Slc5a5	0.582956427898849
ENSMUSG00000000794	Kcnn3	-1.17648340810378
ENSMUSG00000000804	Usp32	-3.38209855694687
ENSMUSG00000000805	Car4	13.4860346194184
ENSMUSG00000000811	Txnrd3	-0.837073701480369
ENSMUSG00000000817	Fasl	-3.53002810449432
ENSMUSG00000000823	Zfp512b	-2.55751302447246
ENSMUSG00000000826	Dnajc5	-0.746609626424979
ENSMUSG00000000827	Tpd52l2	2.46427850528153
ENSMUSG00000000838	Fmr1	1.48480149181088
ENSMUSG00000000861	Bcl11a	-2.80881593193191
ENSMUSG00000000876	Pxmp4	4.72860802746152
ENSMUSG00000000881	Dlg3	-2.7388687680977
ENSMUSG00000000884	Gnb1l	-1.84859154716446
ENSMUSG00000000901	Mmp11	-2.12208140531838
ENSMUSG00000000902	Smarcb1	2.43551695145218
ENSMUSG00000000915	Hip1r	0.678119820176688
ENSMUSG00000000916	Nsun5	-1.6005612090694
ENSMUSG00000000934	Top1mt	2.63140556248623
ENSMUSG00000000938	Hoxa10	-4.84358872931915
ENSMUSG00000000942	Hoxa4	-5.53209081397392
ENSMUSG00000000957	Mmp14	1.47190817725408
ENSMUSG00000000958	Slc7a7	2.41744116876097
ENSMUSG00000000959	Oxa1l	2.08126138325124
ENSMUSG00000000976	Heatr6	-0.997343677605545
ENSMUSG00000000982	Ccl3	3.79132557992032
ENSMUSG00000001014	Icam4	1.03520802757604
ENSMUSG00000001016	Ilf2	2.7985843968445
ENSMUSG00000001017	Chtop	-1.24232481871233
ENSMUSG00000001018	Snapin	1.23395469755417
